Date,Open,High,Low,Close,Adj Close,Volume
21.07.2016,74196.73,74196.73,71537.52,71594.98,71594.98,958130400
22.07.2016,72728.07,72801.93,70426.16,71738.43,71738.43,844690900
25.07.2016,72422.65,74362.34,72395.4,74174.01,74174.01,687739200
26.07.2016,74774.78,74831.62,73208.68,73689.43,73689.43,681597400
27.07.2016,73971.47,75075.7,73758.07,75075.7,75075.7,730235600
28.07.2016,75482.37,75924.32,74884.09,75244.06,75244.06,680852000
29.07.2016,75306.5,75615.35,74473.95,75405.53,75405.53,590358800
01.08.2016,76227.87,76843.26,76223.26,76711.68,76711.68,618759800
02.08.2016,76699.83,76838.47,75788.28,75803.92,75803.92,709154600
03.08.2016,75690.45,75818.58,74142.01,74552.15,74552.15,623558100
04.08.2016,74764.78,76125.64,74255.08,76125.64,76125.64,704367700
05.08.2016,76341.9,76745.46,75112.12,76065.69,76065.69,638697900
08.08.2016,77413.6,77934.09,76980.66,77779.1,77779.1,689628700
09.08.2016,77908.15,78824.91,77711.04,78524.89,78524.89,1016632000
10.08.2016,78674.95,78733,77532.03,77955.65,77955.65,725666400
11.08.2016,78079.73,79066.73,77763.34,79033.57,79033.57,631227000
12.08.2016,79301.35,79366.59,78030.8,78228.56,78228.56,626963500
15.08.2016,78719.3,79041.41,78244.85,78472.57,78472.57,477339200
16.08.2016,78788.11,78911.79,77637.78,77707.13,77707.13,623510800
17.08.2016,77799.14,78599.34,77602.24,78147.82,78147.82,521776900
18.08.2016,78706.54,78880.84,77661.69,77970.93,77970.93,511872000
19.08.2016,78003.94,78214.47,77274.08,78145.59,78145.59,428467300
22.08.2016,77715.59,78102.37,77436.77,77953.27,77953.27,452217500
23.08.2016,78222.21,78292.83,77333.61,77333.61,77333.61,593948200
24.08.2016,76290.9,76290.9,75113.56,76116.31,76116.31,713995900
25.08.2016,76464.35,77009.15,76442.74,76789.89,76789.89,718293500
26.08.2016,76731.3,77284.56,76220.05,77119.65,77119.65,604820400
29.08.2016,76746.86,76949.6,76075.56,76118.84,76118.84,399856600
31.08.2016,76125.93,76517.81,75872.04,75967.63,75967.63,551271600
01.09.2016,76199.93,76367.78,75730.88,75852.8,75852.8,478290600
02.09.2016,76049.97,76975.47,75973.23,76884.32,76884.32,525972400
05.09.2016,77332.79,77845.47,77279.72,77791.6,77791.6,500829300
06.09.2016,77991.45,78195.24,77702.69,77994.79,77994.79,522502200
07.09.2016,78210.75,78293.82,77476.75,77643.18,77643.18,466034100
08.09.2016,77867.13,78194.84,77447.94,77843.49,77843.49,503884800
09.09.2016,77663.68,77753.91,77020.83,77053.54,77053.54,654523200
16.09.2016,77141.68,77255.42,76010.4,76020.29,76020.29,573932000
19.09.2016,76512,77745.24,76512,77670.75,77670.75,608623000
20.09.2016,77654.56,77714.49,77014.11,77313.46,77313.46,669707900
21.09.2016,77452.65,78136.13,77157.47,77915.89,77915.89,687862300
22.09.2016,78856.15,79897.91,78781.2,79795.94,79795.94,899693800
23.09.2016,79790.74,80087.06,79515.5,79756.44,79756.44,670745700
26.09.2016,76243.51,76952.35,76148.33,76725.73,76725.73,883205800
27.09.2016,76972.34,77483.51,76651.9,77160.67,77160.67,655946900
28.09.2016,77273.8,77845.52,77216.04,77677.78,77677.78,682427500
29.09.2016,77807.69,77857.31,76792.82,77076.8,77076.8,745849200
30.09.2016,76682.82,76771.03,76170.66,76488.38,76488.38,543870000
03.10.2016,76924.12,77444.76,76924.12,77225.39,77225.39,575346800
04.10.2016,77326.61,77542.11,76899.12,77057.77,77057.77,856078800
05.10.2016,76712.85,77970.77,76484.84,77853.65,77853.65,924602800
06.10.2016,78191.39,78605.55,77842.34,77894.72,77894.72,765010000
07.10.2016,78102.03,78500.4,77676.06,77975.99,77975.99,603578400
10.10.2016,78296.85,78506.06,77682.75,77835.29,77835.29,808060200
11.10.2016,77773.52,77889.55,77280.27,77643.59,77643.59,845213600
12.10.2016,77903.57,78099.62,77146.46,77461.27,77461.27,828680600
13.10.2016,77469.73,77602.2,76612.52,76810.31,76810.31,867792300
14.10.2016,77091.31,77677.29,76756.51,77554.21,77554.21,738521400
17.10.2016,77418.46,77675.58,76991.21,77437.58,77437.58,697141100
18.10.2016,77796.29,78462.3,77796.29,78340.39,78340.39,867476300
19.10.2016,78675.88,79277.56,78543.54,79209.85,79209.85,746072200
20.10.2016,79355.32,79541.38,79061.55,79252.41,79252.41,745779100
21.10.2016,79310.89,79335.26,78711.75,78843.66,78843.66,547185500
24.10.2016,79242.08,80065.22,79204.51,79932.55,79932.55,587620600
25.10.2016,79914.91,80290.93,79360.31,79433.31,79433.31,730625500
26.10.2016,79492.59,79667,79023.84,79397.94,79397.94,792528600
27.10.2016,79343.26,79492.54,78641.16,78739.17,78739.17,639710100
28.10.2016,78593.06,78736.67,78071.36,78332.87,78332.87,312981800
31.10.2016,78558.95,78861.13,78196.52,78536.17,78536.17,517851900
01.11.2016,78801.98,78957,77376.53,77428.56,77428.56,736650300
02.11.2016,77341.07,77611.94,77155.8,77171.59,77171.59,561759100
03.11.2016,77324.88,77554.59,76612.34,76681.37,76681.37,587001500
04.11.2016,75805.47,75992.23,74238.81,74267.17,74267.17,954161500
07.11.2016,75201.51,75899.94,75201.51,75681.96,75681.96,693605400
08.11.2016,75646.3,76413.32,75193.41,76367.79,76367.79,791300000
09.11.2016,74561.69,76259.76,74509.21,76208.97,76208.97,1061052000
10.11.2016,76881.12,77108.02,76360.36,76360.36,76360.36,832121600
11.11.2016,76218,76427.78,75174.17,75174.17,75174.17,732588200
14.11.2016,75397.12,75489.95,74292.46,74419.1,74419.1,692611400
15.11.2016,74735.19,75309.76,74628.7,75150.56,75150.56,644197400
16.11.2016,75347.02,75410.56,74399.06,74759.06,74759.06,605753100
17.11.2016,74991.46,75688.61,74856.53,75136.22,75136.22,638517600
18.11.2016,74918.31,75783.93,74495.84,75638.96,75638.96,642978100
21.11.2016,75880.58,75937.65,75193.53,75543.57,75543.57,552837400
22.11.2016,75529.52,76215.84,75415.32,75811.99,75811.99,549223000
23.11.2016,76081.01,76173.42,74976.9,75036.9,75036.9,569756000
24.11.2016,74972.62,75867.32,74104.58,74193.07,74193.07,992777600
25.11.2016,74067.49,74597.99,73752.67,74363.45,74363.45,556705300
28.11.2016,74999.68,75332.99,74907.16,74990.23,74990.23,518657100
29.11.2016,74845.44,75120.1,74197.72,74205.48,74205.48,589915500
30.11.2016,74499.72,74561.82,73631.28,73995.2,73995.2,628684600
01.12.2016,74059.62,74094.39,72336.02,72519.85,72519.85,843855400
02.12.2016,72657.68,73545.28,71792.96,73390.94,73390.94,780146200
05.12.2016,73068.65,74169.65,73014.12,73599.7,73599.7,660796200
06.12.2016,73991.27,75446.11,73991.27,75433.34,75433.34,722613000
07.12.2016,75434.41,76123.78,75194.11,76030.78,76030.78,753912800
08.12.2016,76264.87,76458.51,75116.85,75929.32,75929.32,798062200
09.12.2016,76116.42,76177.14,75584.76,75727.28,75727.28,499010600
12.12.2016,75347.13,76239.63,74908.89,76239.63,76239.63,582607600
13.12.2016,76532.65,77016.08,76268.7,76995.27,76995.27,651581900
14.12.2016,76892.95,77109.21,76458.55,76880.85,76880.85,482740500
15.12.2016,76325.99,77678.59,76255.84,77678.59,77678.59,816969900
